file,parameter,proposed_unit,status,note
12_Control_parameters.csv,control_type,text (modes/setpoints),confirmed,"No physical unit - option code"
12_Control_parameters.csv,set_point_default_cooling,degC,confirmed,""
12_Control_parameters.csv,set_point_default_heating,degC,confirmed,""
12_Control_parameters.csv,flexibility_event_length_max,h,confirmed,"flex_evaluation.R (flexibility_event_length in hours)"
12_Control_parameters.csv,flexibility_recover_timespan,h,confirmed,"flex_evaluation.R"
12_Control_parameters.csv,thermal_stabilization_timespan,h,confirmed,"flex_evaluation.R"
12_Control_parameters.csv,minimum_flexibility,kW,confirmed,"flex_evaluation.R: minimum_flexibility * delta_t(h) gives an energy in kWh, so minimum_flexibility is kW"
12_Control_parameters.csv,flexibility_splits,-,confirmed,"Dimensionless count. Loaded in load_control_parameters.R but NO CONSUMER detected elsewhere in the code - kept as-is, documented as unused"
13_Modes_setpoints.csv,mode,-,confirmed,"Mode identifier (index), no physical unit"
13_Modes_setpoints.csv,heating,degC,confirmed,""
13_Modes_setpoints.csv,cooling,degC,confirmed,""
14_Optimization_parameters.csv,population_size,-,confirmed,"Dimensionless count - GA population size"
14_Optimization_parameters.csv,iteration_number,-,confirmed,"Dimensionless count - number of GA generations"
14_Optimization_parameters.csv,run_number,-,confirmed,"Dimensionless count - number of GA runs"
14_Optimization_parameters.csv,pcrossover,-,confirmed,"Dimensionless probability, 0-1"
14_Optimization_parameters.csv,pmutation,-,confirmed,"Dimensionless probability, 0-1"
15_Market_config.csv,market_resolution,min,confirmed,"Market resolution in minutes (full_market_information_setup.R)"
15_Market_config.csv,Complex_Market_Config,text (yes/no),confirmed,"No physical unit"
15_Market_config.csv,Optimization_horizon_scheduling,h,confirmed,""
15_Market_config.csv,Implementation_horizon_scheduling,h,confirmed,""
15_Market_config.csv,Anticipation_scheduling,h,confirmed,""
15_Market_config.csv,optimization_aim_scheduling,text (code E/E+F),confirmed,"No physical unit"
15_Market_config.csv,Optimization_horizon_piloting,h,confirmed,""
15_Market_config.csv,Implementation_horizon_piloting,h,confirmed,""
15_Market_config.csv,Anticipation_piloting,h,confirmed,""
15_Market_config.csv,optimization_aim_piloting,text (code O/O+F),confirmed,"No physical unit"
15_Market_config.csv,Max_flex_periods_day,-,confirmed,"Dimensionless count per day"
15_Market_config.csv,Max_flex_com_price,EUR/kWh,confirmed,"generate_flexibility_events.R: generates Flex_unit_cost_*_com, same family as Elec_unit_cost_buy"
15_Market_config.csv,Max_flex_exec_price,EUR/kWh,confirmed,"generate_flexibility_events.R: generates Flex_unit_cost_*_exec"
15_Market_config.csv,Max_flex_period_duration,h,confirmed,"place_flex_candidate.R (max_duration_hours parameter)"
15_Market_config.csv,Max_flex_probability,-,confirmed,"Dimensionless probability, 0-1"
16_Market_config_scheduling.csv,Market,-,confirmed,"Identifier, no physical unit"
16_Market_config_scheduling.csv,closure,h,confirmed,"Market closure lead time"
16_Market_config_scheduling.csv,begin,h (hour of day),confirmed,""
16_Market_config_scheduling.csv,end,h (hour of day),confirmed,""
16_Market_config_scheduling.csv,end_optimization,h,confirmed,""
16_Market_config_scheduling.csv,aim,text (code E/E+F),confirmed,"No physical unit"
17_Market_config_piloting.csv,Market,-,confirmed,"Identifier, no physical unit - same as 16_Market_config_scheduling.csv"
17_Market_config_piloting.csv,closure,h,confirmed,""
17_Market_config_piloting.csv,begin,h (hour of day),confirmed,""
17_Market_config_piloting.csv,end,h (hour of day),confirmed,""
17_Market_config_piloting.csv,end_optimization,h,confirmed,""
17_Market_config_piloting.csv,aim,text (code O/O+F),confirmed,"No physical unit"
18_Reward_parameters.csv,Alpha_Service_Min,EUR/h,confirmed,"reward_function.R: Alpha_Service_Min * Performance_plan (Performance_plan in hours via delta_t) is added to terms in EUR"
18_Reward_parameters.csv,Service_T_Low,degC,confirmed,""
18_Reward_parameters.csv,Service_T_High,degC,confirmed,""
18_Reward_parameters.csv,Setback_T_Low,degC,confirmed,""
18_Reward_parameters.csv,Setback_T_High,degC,confirmed,""
18_Reward_parameters.csv,Service_Anticipation_Begin,h,confirmed,"generate_scheduling_profiles.R"
18_Reward_parameters.csv,Service_Anticipation_End,h,confirmed,"generate_scheduling_profiles.R"
18_Reward_parameters.csv,Service_AT_Low_Sched_HDD,degC,confirmed,"Adjustment to the Scheduling_T_Low threshold on heating days (HDD); same family as Service_T_Low"
18_Reward_parameters.csv,Service_AT_High_Sched_CDD,degC,confirmed,"Adjustment to the Scheduling_T_High threshold on cooling days (CDD); same family as Service_AT_Low_Sched_HDD"
18_Reward_parameters.csv,T_ref_Heating_Season,degC,confirmed,"climate_priority.R: threshold each of the HDD_period preceding 24h periods' own mean Text must be below"
18_Reward_parameters.csv,HDD_period,days,confirmed,"climate_priority.R: number of preceding 24h periods checked individually, each 86400 seconds long"
18_Reward_parameters.csv,T_ref_Cooling_Season,degC,confirmed,"climate_priority.R: threshold each of the CDD_period preceding 24h periods' own mean Text must be above"
18_Reward_parameters.csv,CDD_period,days,confirmed,"climate_priority.R"
18_Reward_parameters.csv,Revenue_discount_per_hour,-,confirmed,"Dimensionless 0-1 fraction. Loaded and validated (range 0-1) but NO CONSUMER detected elsewhere in the code - kept as-is, documented as unused"
19_Forecast_parameters.csv,forecast_type,text (accurate/inaccurate),confirmed,"No physical unit"
19_Forecast_parameters.csv,forecast_n_days_back,days,confirmed,""
19_Forecast_parameters.csv,forecast_weight_history,-,confirmed,"Dimensionless weight, 0-1"
19_Forecast_parameters.csv,t_ext_24h_default,degC,confirmed,"load_all_parameters.R"
21_Energy_price_parameters.csv,Energy_Export_discount,%,confirmed,"Parameter_config.csv range 0-100; energy_price_signals_setup.R uses /100"
21_Energy_price_parameters.csv,Energy_Sell_discount,%,confirmed,""
21_Energy_price_parameters.csv,Price_variation_day_ahead,%,confirmed,""
21_Energy_price_parameters.csv,Price_variation_5h,%,confirmed,""
21_Energy_price_parameters.csv,Price_variation_1_5h,%,confirmed,""
21_Energy_price_parameters.csv,Price_variation_below_1h,%,confirmed,""
22_Flexibility_generation_parameters.csv,Max_shift_hours,h,confirmed,"try_flex_echo.R"
22_Flexibility_generation_parameters.csv,P_advance,-,confirmed,"Dimensionless probability, 0-1"
22_Flexibility_generation_parameters.csv,P_delay,-,confirmed,"Dimensionless probability, 0-1"
22_Flexibility_generation_parameters.csv,P_event_base,-,confirmed,"Dimensionless probability, 0-1"
22_Flexibility_generation_parameters.csv,decay_rate,h-1,confirmed,"generate_flexibility_events.R: exp(-decay_rate * h_hours), dimensionless exponent"
30_Debug_and_config.csv,month_subset,-,confirmed,"Dimensionless month index 1-12; 0 = no subset"
30_Debug_and_config.csv,period_subset,-,confirmed,"Dimensionless index; 0 = no subset"
30_Debug_and_config.csv,verbose,-,confirmed,"Dimensionless boolean 0/1"
30_Debug_and_config.csv,parallel,-,confirmed,"Dimensionless boolean 0/1"
30_Debug_and_config.csv,Price_emulation,-,confirmed,"Dimensionless boolean 0/1"
04_Use_Patterns.csv,TYPE,-,confirmed,"Identifier, no physical unit"
04_Use_Patterns.csv,H01-H24,-,confirmed,"Hourly occupancy, dimensionless boolean 0/1"
04_Use_Patterns.csv,MONTH,-,confirmed,"Identifier, no physical unit"
04_Use_Patterns.csv,D01-D07,-,confirmed,"Each cell references a TYPE identifier from the TYPE table, not a physical quantity"
05_File_paths.csv,key,-,confirmed,"Identifier, no physical unit"
05_File_paths.csv,filename,-,confirmed,"File path, no physical unit"
05_File_paths.csv,library_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,needed_cols_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,parameter_validation_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,physical_properties_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,use_patterns_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,model_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,control_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,setpoint_mode_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,optimization_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,market_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,market_config_scheduling_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,market_config_piloting_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,reward_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,forecast_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,energy_price_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,flexibility_generation_file,-,confirmed,"File path, no physical unit"
05_File_paths.csv,debug_and_config_file,-,confirmed,"File path, no physical unit"
